RAW DATA,,,,,,,,,,,,,,,,,,,
,Cluster Size,1 (Uniform),2 (Uniform),3 (Uniform),,1 (Weighted),2 (Weighted),3 (Weighted),6 (Weighted),,Cluster Size,1 (Uniform),2 Uniform,3 (Uniform),Column1,1 Wieghted,2 Weighted,3 Weighted,6 Weighted
,,6,6,4,,9.00E+00,5,4,4.00E+00,,MIN,1,0,1,,2,0,0,0
,,7,4,6,,6.00E+00,4,4,8.00E+00,,MAX,13,12,16,,14,12,10,13
,,7,6,8,,7.00E+00,6,3,5.00E+00,,,,,,,,,,
,,7,5,8,,7.00E+00,6,4,5.00E+00,,Frequency Count,1 (Uniform),2 (Uniform),3 (Uniform),,1 (Weighted),2 (Weighted),3 (Weighted),6 (Weighted)
,,5,6,7,,9.00E+00,7,2,5.00E+00,,0,0,1,0,,0,7,7,1
,,4,4,4,,5.00E+00,4,3,4.00E+00,,1,7,39,7,,0,41,73,23
,,3,7,5,,8.00E+00,5,2,3.00E+00,,2,41,227,78,,21,230,386,188
,,8,5,7,,1.10E+01,8,5,7.00E+00,,3,240,654,290,,91,504,894,512
,,7,7,8,,8.00E+00,5,4,7.00E+00,,4,669,1146,645,,345,865,1284,971
,,5,4,4,,7.00E+00,5,2,3.00E+00,,5,978,1168,1027,,681,1108,1135,1114
,,7,6,3,,8.00E+00,7,5,7.00E+00,,6,1163,987,1057,,956,970,706,929
,,3,5,5,,6.00E+00,7,5,2.00E+00,,7,951,499,856,,1079,661,343,661
,,3,4,6,,4.00E+00,5,2,4.00E+00,,8,586,192,571,,868,379,123,350
,,5,5,4,,6.00E+00,7,4,4.00E+00,,9,234,60,303,,529,160,41,165
,,7,5,5,,6.00E+00,5,2,4.00E+00,,10,106,23,130,,275,54,8,63
,,9,5,6,,7.00E+00,4,5,4.00E+00,,11,20,3,31,,110,17,0,18
,,5,6,6,,6.00E+00,7,2,7.00E+00,,12,1,1,4,,35,4,0,4
,,8,3,8,,8.00E+00,7,5,7.00E+00,,13,4,0,0,,9,0,0,1
,,7,6,9,,7.00E+00,4,7,4.00E+00,,14,0,0,0,,1,0,0,0
,,7,6,8,,7.00E+00,6,6,5.00E+00,,,5000,5000,4999,,5000,5000,5000,5000
,,3,3,4,,5.00E+00,4,3,2.00E+00,,MEANS,6.03,4.93,6.02,,6.92,5.34,4.48,5.35
,,8,5,5,,7.00E+00,7,5,9.00E+00,,VAR,2.894502741,2.566872374,3.321595359,,3.441047209,3.389123865,2.475356511,3.266185397
,,9,8,8,,1.00E+01,10,6,7.00E+00,,,,,,,,,,
,,10,7,9,,8.00E+00,6,6,8.00E+00,,,,,,,,,,
,,6,7,6,,9.00E+00,9,3,6.00E+00,,,,,,,,,,
,,5,3,3,,3.00E+00,2,1,3.00E+00,,,,,,,,,,
,,4,1,3,,6.00E+00,2,4,3.00E+00,,,,,,,,,,
,,7,4,5,,7.00E+00,4,6,7.00E+00,,,,,,,,,,
,,7,8,7,,8.00E+00,5,7,8.00E+00,,,,,,,,,,
,,8,6,8,,7.00E+00,6,5,7.00E+00,,,,,,,,,,
,,6,6,3,,5.00E+00,2,2,5.00E+00,,,,,,,,,,
,,3,6,6,,7.00E+00,3,2,5.00E+00,,,,,,,,,,
,,7,3,5,,5.00E+00,4,3,5.00E+00,,,,,,,,,,
,,3,4,4,,3.00E+00,2,1,3.00E+00,,,,,,,,,,
,,5,5,5,,8.00E+00,5,4,4.00E+00,,,,,,,,,,
,,9,7,5,,8.00E+00,6,5,7.00E+00,,,,,,,,,,
,,6,5,6,,4.00E+00,4,4,4.00E+00,,,,,,,,,,
,,5,6,7,,7.00E+00,7,6,5.00E+00,,,,,,,,,,
,,8,7,8,,7.00E+00,7,4,5.00E+00,,,,,,,,,,
,,7,6,6,,9.00E+00,4,3,5.00E+00,,,,,,,,,,
,,5,7,4,,7.00E+00,5,6,6.00E+00,,,,,,,,,,
,,6,4,5,,8.00E+00,3,6,6.00E+00,,,,,,,,,,
,,4,2,4,,4.00E+00,4,3,5.00E+00,,,,,,,,,,
,,8,8,7,,1.10E+01,10,7,7.00E+00,,,,,,,,,,
,,5,4,5,,7.00E+00,4,4,4.00E+00,,,,,,,,,,
,,9,6,6,,9.00E+00,8,6,6.00E+00,,,,,,,,,,
,,6,5,5,,9.00E+00,4,4,7.00E+00,,,,,,,,,,
,,6,3,4,,6.00E+00,5,4,6.00E+00,,,,,,,,,,
