RAW DATA,,,,,,,,,,,,,,,,,,,
Cluster Size,,1 (Uniform),2 (Uniform),3 (Uniform),6 (Uniform),1 (Weighted),2 (Weighted),3 (Weighted),6 (Weighted),,Cluster Size,1 (Uniform),2 (Uniform),3 (Uniform),6 (Uniform),1 (Weighted),2 (Weighted),3 (Weighted),6 (Weighted)
,,6,6,4,7,9.00,5,4,4,,Min Freq,1,0,1,0,2,0,0,0
,,7,4,6,5,6.00,4,4,8,,Max Freq,13,12,16,16,14,12,10,13
,,7,6,8,6,7.00,6,3,5,,,,,,,,,,
,,7,5,8,5,7.00,6,4,5,,Frequency,1 (Uniform),2 (Uniform),3 (Uniform),6 (Uniform),1 (Weighted),2 (Weighted),3 (Weighted),6 (Weighted)
,,5,6,7,7,9.00,7,2,5,,0,0,1,0,9,0,7,7,1
,,4,4,4,4,5.00,4,3,4,,1,7,39,7,51,0,41,73,23
,,3,7,5,4,8.00,5,2,3,,2,41,227,78,204,21,230,386,188
,,8,5,7,6,11.00,8,5,7,,3,240,654,290,467,91,504,894,512
,,7,7,8,6,8.00,5,4,7,,4,669,1146,645,749,345,865,1284,971
,,5,4,4,4,7.00,5,2,3,,5,978,1168,1027,1004,681,1108,1135,1114
,,7,6,3,4,8.00,7,5,7,,6,1163,987,1057,1013,956,970,706,929
,,3,5,5,4,6.00,7,5,2,,7,951,499,856,736,1079,661,343,661
,,3,4,6,5,4.00,5,2,4,,8,586,192,571,444,868,379,123,350
,,5,5,4,4,6.00,7,4,4,,9,234,60,303,214,529,160,41,165
,,7,5,5,7,6.00,5,2,4,,10,106,23,130,83,275,54,8,63
,,9,5,6,5,7.00,4,5,4,,11,20,3,31,24,110,17,0,18
,,5,6,6,7,6.00,7,2,7,,12,1,1,4,1,35,4,0,4
,,8,3,8,8,8.00,7,5,7,,13,4,0,0,0,9,0,0,1
,,7,6,9,6,7.00,4,7,4,,14,0,0,0,1,1,0,0,0
,,7,6,8,7,7.00,6,6,5,,15,0,0,0,0,1,0,0,0
,,3,3,4,2,5.00,4,3,2,,16,0,0,1,0,1,0,0,0
,,8,5,5,8,7.00,7,5,9,,SUM,5000,5000,5000,5000,5002,5000,5000,5000
,,9,8,8,6,10.00,10,6,7,,MEANS,6.0296,4.929,6.0164,5.5408,6.921,5.3414,4.4816,5.3528
,,10,7,9,7,8.00,6,6,8,,VAR,2.894502741,2.566872374,3.321595359,3.696274615,3.441047209,3.389123865,2.475356511,3.266185397
,,6,7,6,6,9.00,9,3,6,,,,,,,,,,
,,5,3,3,4,3.00,2,1,3,,,,,,,,,,
,,4,1,3,4,6.00,2,4,3,,,,,,,,,,
,,7,4,5,6,7.00,4,6,7,,,,,,,,,,
,,7,8,7,6,8.00,5,7,8,,,,,,,,,,
,,8,6,8,5,7.00,6,5,7,,,,,,,,,,
,,6,6,3,4,5.00,2,2,5,,,,,,,,,,
,,3,6,6,3,7.00,3,2,5,,,,,,,,,,
,,7,3,5,4,5.00,4,3,5,,,,,,,,,,
,,3,4,4,2,3.00,2,1,3,,,,,,,,,,
,,5,5,5,3,8.00,5,4,4,,,,,,,,,,
,,9,7,5,8,8.00,6,5,7,,,,,,,,,,
,,6,5,6,3,4.00,4,4,4,,,,,,,,,,
,,5,6,7,6,7.00,7,6,5,,,,,,,,,,
